Uniq Id,Crawl Timestamp,Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
81172de70c02056752892254ba872766,2019-07-04 03:08:31 +0000, Senior Android Developer, Not Disclosed by Recruiter ,2 - 5 yrs, Android Studio| Java| Android SDK| SQLite| JSON| Android Development| XML| User Experience| Gradle| Android Application,Programming & Design,Hyderabad (Gachibowli) ,IT Software - Mobile,"IT-Software, Software Services",Software Developer
c2fa3464b0177d47b3e00e44d7f98d2d,2019-07-06 01:47:02 +0000, Senior Android Developer, Not Disclosed by Recruiter ,3 - 8 yrs, Android| Android Developer,Programming & Design,Pune,IT Software - Mobile,"IT-Software, Software Services",Software Developer
873763e3342de34b51daf4e0dec66dd8,2019-08-06 07:52:08 +0000, Senior Android Developer, Not Disclosed by Recruiter ,4 - 9 yrs, Android| Computer science| Downstream| rest| development| ux| solid| Architecture| mobile| Unit testing| it| Architect| Mobile development| application| Focus| design| applications,Programming & Design,Bengaluru,IT Software - System Programming,"IT-Software, Software Services",Software Developer
2c693c946767d9747374c2b63205eebf,2019-08-05 20:38:12 +0000, Senior Architect, Not Disclosed by Recruiter ,8 - 13 yrs, Architecture| interior design| revit| Architectural Design,Architectural Services,Bengaluru,"Architecture , Interior Design","Architecture, Interior Design",Architect
315dcc6a7ad9d4e8ef71c5a47c559e61,2019-08-05 23:15:31 +0000, Senior Automation Engineer, Not Disclosed by Recruiter ,5 - 10 yrs, automation framework| Windows OS| Automation testing| Linux| Networking| Test scripts| Mentor| Selenium| Unit testing| Python,Programming & Design,Hyderabad,IT Software - QA & Testing,"Media, Entertainment, Internet",Software Developer
8d6b2a033a7445c7e47efdf9ea1e5196,2019-08-05 11:42:54 +0000, Senior Business Analyst, Not Disclosed by Recruiter ,13 - 15 yrs, Analytical skills| Focus| Senior Business Analyst| Banking,System Design/Implementation/ERP/CRM,Chennai,"IT Software - Application Programming , Maintenance","Education, Teaching, Training",Business Analyst
70ca70f8ef0b74d65f7af70a2ccbe3ff,2019-07-05 16:19:15 +0000, Senior Business Analyst, Not Disclosed by Recruiter ,1 - 5 yrs, Base SAS| Linear Regression| Business Analysis| Segmentation| Model Development| Clustering| Modeling| SQL,Analytics & BI,Ahmedabad,Analytics & Business Intelligence,"Strategy, Management Consulting Firms",Business Analyst
6ac4507885380756f064ccaf4949d30d,2019-08-04 20:11:23 +0000," Senior Business Development Executive, IT Sales, BDM, BDE, BD, IT BDM"," 3,00,000 - 8,00,000 PA. ",2 - 7 yrs, bde| bd| sales business development| business development| bdm| business development manager| sales| it marketing| marketing executive| software sales| business development executive| software marketing| it sales,Retail Sales,Noida,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
4c858e676d755385321a421f06901a24,2019-07-06 06:03:59 +0000, Senior Consultant, Not Disclosed by Recruiter ,2 - 5 yrs, Ariba| Staffing| Sharepoint,Other,Pune,IT Software - Other,"BPO, Call Centre, ITeS",Outside Consultant
d12f49617834d41ecc0391b5155805ab,2019-07-05 18:04:50 +0000, Senior Content Writer, Not Disclosed by Recruiter ,2 - 5 yrs, Article writing| Internet research| Digital marketing| Recruitment| MS Word| creative content| Quality improvement| Excel| UPS| Usage,Content Development,"Hyderabad,Ghaziabad,madhepura","Journalism , Editing , Content","Advertising, PR, MR, Event Management",Content Developer
7f3949f89bca65ba18c6aad08b6853cc,2019-08-04 03:47:12 +0000, Senior Data Scientist, Not Disclosed by Recruiter ,5 - 8 yrs, advanced analytics| r| python| data analysis| neural networks| machine learning,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
7a1bd05aaad80c0b7373304c5a2c7b23,2019-07-06 15:07:51 +0000, Senior Developer," 8,00,000 - 18,00,000 PA. ",8 - 12 yrs, asp.net| c#.net| SQL Server| Javascript,Programming & Design,Bengaluru (3rd Phase JP Nagar) ,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
93ff5ad042561af3f86697fe1e4eaffb,2019-07-04 05:05:49 +0000, Senior Devops Engineer," 7,00,000 - 17,00,000 PA. ",1 - 6 yrs, Ansible| Puppet| Jenkins| Docker| Build| AWS| Devops| GIT| Configuration Management| Monitoring Tools| Information Technology| Telecommunication| Computer Science| Cloud Computing| IT Infrastructure| SCM| Chef,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
7fefdc62be71a54418a15d434359a13a,2019-08-06 04:52:52 +0000, Senior DevOps Engineer, Not Disclosed by Recruiter ,5 - 10 yrs, Automation| Shell scripting| Python| continuous integration| Maven| development| software| configuration| Configuration management| Deployment| tools| cloud| Version control| GIT| web| service| design| Infrastructure| support| programming,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
89149ee5d3d864b0bf7b337a3ca35136,2019-07-07 02:23:51 +0000, SENIOR ENGINEER, Not Disclosed by Recruiter ,3 - 6 yrs, Aerospace| FMECA| Hazard analysis| Talent acquisition| Reliability prediction| Stress analysis| Electronics| Mechanical| Management| Testing,Programming & Design,Bengaluru,IT Software - Other,"Aviation, Aerospace, Aeronautical",Software Developer
